FREQ;GEO;UNIT;OBJECTIV\TIME_PERIOD,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 
A;FI;PC_GDP;OBJ03,0.052 ,0.051 ,0.061 ,0.145 ,0.146 ,0.13 ,0.135 ,0.13 ,0.139 ,0.186 ,0.172 ,0.522 ,0.313 ,0.357 ,0.455 ,0.49 ,0.549 ,0.586 
A;FR;PC_GDP;OBJ03,0.019 ,0.014 ,0.022 ,0.01 ,0.008 ,0.008 ,0.008 ,0.008 ,0.008 ,0.029 ,0.026 ,0.028 ,0.035 ,0.037 ,0.044 ,0.1 ,0.157 ,0.197 
A;HR;PC_GDP;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.007 ,0.033 ,0.33 ,0.441 ,0.095 
A;HU;PC_GDP;OBJ03,0.034 ,0.018 ,0.079 ,0.006 ,0.002 ,0.009 ,0.014 ,0.003 ,0.083 ,0.041 ,0.014 ,0.013 ,0.04 ,0.043 ,0.038 ,0.058 ,0.028 ,0.196 
A;IE;PC_GDP;OBJ03,0.003 ,0.001 ,0.001 ,0.005 ,0.004 ,0.006 ,0.002 ,0.006 ,0.021 ,0.03 ,0.049 ,0.036 ,0.034 ,0.037 ,0.052 ,0.045 ,0.067 ,0.109 
A;IT;PC_GDP;OBJ03,0.003 ,0.002 ,0.001 ,0.011 ,0.003 ,0.005 ,0.008 ,0.005 ,0.005 ,0.006 ,0.005 ,0.003 ,0.004 ,0.004 ,0.008 ,0.004 ,0.003 ,0.052 
A;LT;PC_GDP;OBJ03,0 ,0 ,0 ,0 ,0 ,0.012 ,0.041 ,0.063 ,0.066 ,0.118 ,0.01 ,0.023 ,0.023 ,0.011 ,0.032 ,0.291 ,0.275 ,0.328 
A;LU;PC_GDP;OBJ03,0.003 ,0.003 ,0.001 ,0 ,0 ,0.012 ,0.009 ,0.002 ,0.021 ,0.021 ,0.031 ,0.072 ,0.027 ,0.012 ,0.167 ,0.241 ,0.242 ,0.163 
A;LV;PC_GDP;OBJ03,0.004 ,0 ,0 ,0 ,0 ,0 ,0.012 ,0.026 ,0.04 ,0.056 ,0.312 ,0.18 ,0.056 ,0.045 ,0.065 ,0.154 ,0.16 ,0.146 
A;MT;PC_GDP;OBJ03,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.001 ,0.006 
A;NL;PC_GDP;OBJ03,0.037 ,0.068 ,0.095 ,0.099 ,0.109 ,0.14 ,0.162 ,0.128 ,0.153 ,0.172 ,0.167 ,0.173 ,0.17 ,0.156 ,0.152 ,0.155 ,0.16 ,0.156 
A;PL;PC_GDP;OBJ03,0.045 ,0.011 ,0.018 ,0.04 ,0.005 ,0.003 ,0.005 ,0.001 ,0.07 ,0.094 ,0.103 ,0.04 ,0.002 ,0.001 ,0.23 ,0.226 ,0.245 ,0.301 
A;PT;PC_GDP;OBJ03,0.003 ,0 ,0.001 ,0.001 ,0 ,0 ,0 ,0.001 ,0 ,0.002 ,0.001 ,0.001 ,0.006 ,0 ,0 ,0 ,0 ,0 
A;RO;PC_GDP;OBJ03,0 ,0 ,0.016 ,0.016 ,0.015 ,0.01 ,0.009 ,0.009 ,0.01 ,0 ,0 ,0.175 ,0.346 ,0.435 ,0.411 ,0.445 ,0.474 ,0.408 
A;SE;PC_GDP;OBJ03,0.294 ,0.26 ,0.25 ,1.262 ,3.035 ,3.508 ,3.741 ,3.765 ,3.569 ,2.996 ,3.507 ,3.809 ,4.038 ,4.268 ,3.989 ,3.982 ,4.73 ,4.873 
